"","fyear","nhs_pay"
"1","2012",1.1202588125665
"2","2013",1.13054381875699
"3","2014",0.647874690067773
"4","2015",0.123057158183437
"5","2016",1.08475637488348
"6","2017",1.18725925177647
"7","2018",1.31844732696529
"8","2019",3.28418002460098
"9","2020",2.95697254414622
"10","2021",3.03514756784635
"11","2022",3.76360833552982
